YEAR,MONTH,DAY,ANIMAL (Specific),ANIMAL (Gen),IS_MAMMAL,TOWN,ROUTE,MILE_MARKER,SEASON,DAY_COUNTER,COLLISION_COUNTER
2004,5,19,Deer - Fawn Doe,Deer,TRUE,HIGHGATE,I 89,128.8,Spring,140,206
2004,5,20,Coyote,Coyote,TRUE,CHARLESTON,VT 105,9.4,Spring,141,207
2004,5,20,Beaver,Beaver,TRUE,WATERBURY,I 89,67.75,Spring,141,208
2004,5,20,Coyote,Coyote,TRUE,HIGHGATE,I 89,129.25,Spring,141,209
2004,5,20,Deer - Adult Unknown,Deer,TRUE,HIGHGATE,I 89,128.8,Spring,141,210
2004,5,20,Deer - Adult Unknown,Deer,TRUE,DERBY,I 91,171.75,Spring,141,211
2004,5,20,Deer - Fawn Buck,Deer,TRUE,HIGHGATE,I 89,128.8,Spring,141,212
2004,5,21,Deer - Adult Doe,Deer,TRUE,MIDDLESEX,I 89,57.5,Spring,142,213
2004,5,21,Deer - Adult Doe,Deer,TRUE,WATERBURY,I 89,67.65,Spring,142,214
2004,5,21,Deer - Adult Unknown,Deer,TRUE,READSBORO,VT 8,1.2,Spring,142,215
2004,5,21,Deer - Fawn Doe,Deer,TRUE,WATERBURY,I 89,67.65,Spring,142,216
2004,5,24,Deer - Fawn Buck,Deer,TRUE,BRADFORD,I 91,101.45,Spring,145,217
2004,5,24,Raccoon,Raccoon,TRUE,HALIFAX,VT 112,2.65,Spring,145,218
2004,5,24,Deer - Adult Doe,Deer,TRUE,NORWICH,I 91,75.7,Spring,145,219
2004,5,24,Deer - Fawn Doe,Deer,TRUE,HIGHGATE,I 89,128.8,Spring,145,220
2004,5,25,Deer - Adult Buck,Deer,TRUE,WINDSOR,I 91,56.1,Spring,146,221
2004,5,25,Porcupine,Porcupine,TRUE,BERLIN,I 89,51.85,Spring,146,222
2004,5,25,Porcupine,Porcupine,TRUE,BOLTON,I 89,72.2,Spring,146,223
2004,5,26,Bird - Eagle,Bird,FALSE,DERBY,I 91,169.6,Spring,147,224
2004,5,27,Fisher,Fisher,TRUE,WOLCOTT,VT 15,6,Spring,148,225
2004,6,1,Fox,Fox,TRUE,THETFORD,VT 113,4.2,Spring,153,226
2004,6,2,Fox,Fox,TRUE,HARTLAND,I 91,62.15,Spring,154,227
2004,6,2,Deer - Adult Buck,Deer,TRUE,HIGHGATE,I 89,129,Spring,154,228
2004,6,4,Deer - Adult Buck,Deer,TRUE,DERBY,I 91,173.65,Spring,156,229
2004,6,4,Turtle - painted,Turtle,TRUE,NORTHFIELD,VT 64,0.45,Spring,156,230
2004,6,7,Coyote,Coyote,TRUE,DUMMERSTON,I 91,15.75,Spring,159,231
2004,6,7,Fox,Fox,TRUE,WOLCOTT,VT 15,4.42,Spring,159,232
2004,6,7,Deer - Adult Doe,Deer,TRUE,RANDOLPH,I 89,31,Spring,159,233
2004,6,7,Deer - Fawn Doe,Deer,TRUE,HIGHGATE,I 89,128.75,Spring,159,234
2004,6,8,Deer - Adult Buck,Deer,TRUE,MIDDLESEX,I 89,56.6,Spring,160,235
2004,6,8,Deer - Adult Buck,Deer,TRUE,MIDDLESEX,I 89,56.65,Spring,160,236
2004,6,8,Fox,Fox,TRUE,MORETOWN,VT 100B,1.8,Spring,160,237
2004,6,9,Deer - Adult Buck,Deer,TRUE,WINDSOR,I 91,57.5,Spring,161,238
2004,6,9,Turtle - unknown,Turtle,FALSE,WINDSOR,I 91,55.2,Spring,161,239
2004,6,9,Woodchuck,Woodchuck,TRUE,HARTLAND,I 91,61.35,Spring,161,240
2004,6,10,Opossum,Opossum,TRUE,WINDSOR,US 5,1.7,Spring,162,241
2004,6,12,Bird - Turkey,Bird,FALSE,BROOKFIELD,I 89,37.3,Spring,164,242
2004,6,12,Otter,Otter,TRUE,SHARON,I 89,9.75,Spring,164,243
2004,6,12,Otter,Otter,TRUE,SHARON,I 89,9.75,Spring,164,243.1
2004,6,12,Deer - Adult Doe,Deer,TRUE,WINDSOR,I 91,58.85,Spring,164,244
2004,6,14,Deer - Adult Doe,Deer,TRUE,MIDDLESEX,I 89,60,Spring,166,245
2004,6,14,Deer - Adult Doe,Deer,TRUE,HYDE PARK,VT 15,2.6,Spring,166,246
2004,6,14,Deer - Adult Doe,Deer,TRUE,RYEGATE,I 91,115,Spring,166,247
2004,6,14,Moose,Moose,TRUE,LUNENBURG,US 2,1.6,Spring,166,248
2004,6,14,Deer - Adult Doe,Deer,TRUE,BERLIN,I 89,48,Spring,166,249
2004,6,14,Raccoon,Raccoon,TRUE,WINDSOR,I 91,54.4,Spring,166,250
2004,6,14,Deer - Adult Doe,Deer,TRUE,BARRE TOWN,VT 63,2.5,Spring,166,251
2004,6,15,Deer - Fawn Doe,Deer,TRUE,DERBY,I 91,168.85,Spring,167,252
2004,6,16,Beaver,Beaver,TRUE,WINOOSKI CIT,I 89,90.55,Spring,168,253
2004,6,16,Deer - Adult Unknown,Deer,TRUE,MIDDLESEX,I 89,60.4,Spring,168,254
2004,6,16,Coyote,Coyote,TRUE,WILLIAMSTOWN,I 89,40.85,Spring,168,255
2004,6,16,Deer - Adult Unknown,Deer,TRUE,BARNET,I 91,123.9,Spring,168,256
2004,6,16,Deer - Adult Unknown,Deer,TRUE,EAST MONTPEL,VT 14,2.5,Spring,168,257
2004,6,16,Deer - Adult Unknown,Deer,TRUE,EAST MONTPEL,VT 14,2,Spring,168,258
2004,6,16,Coyote,Coyote,TRUE,RICHMOND,I 89,75.84,Spring,168,259
2004,6,16,Deer - Adult Unknown,Deer,TRUE,MIDDLESEX,I 89,60,Spring,168,260
2004,6,16,Deer - Fawn Doe,Deer,TRUE,GUILFORD,I 91,1.35,Spring,168,261
2004,6,16,Beaver,Beaver,TRUE,MIDDLESEX,I 89,59.38,Spring,168,262
2004,6,16,Deer - Adult Unknown,Deer,TRUE,WINDSOR,I 91,59,Spring,168,263
2004,6,16,Coyote,Coyote,TRUE,SOUTH BURLIN,I 89,86.2,Spring,168,264
2004,6,16,Fox,Fox,TRUE,FRANKLIN,VT 236,2.2,Spring,168,265
2004,6,16,Deer - Adult Doe,Deer,TRUE,BENNINGTON,US 7,6.8,Spring,168,266
2004,6,16,Deer - Adult Buck,Deer,TRUE,BERLIN,I 89,51,Spring,168,267
2004,6,16,Other,Other,FALSE,MIDDLESEX,I 89,60.75,Spring,168,268
2004,6,16,Beaver,Beaver,TRUE,BERLIN,VT 12,0.4,Spring,168,269
2004,6,16,Deer - Adult Doe,Deer,TRUE,BERLIN,I 89,50.8,Spring,168,270
2004,6,16,Deer - Adult Unknown,Deer,TRUE,GEORGIA,I 89,107,Spring,168,271
2004,6,16,Deer - Adult Unknown,Deer,TRUE,MONTPELIER,VT 12,0.3,Spring,168,272
2004,6,16,Deer - Adult Unknown,Deer,TRUE,SHARON,I 89,12.9,Spring,168,273
2004,6,16,Deer - Adult Unknown,Deer,TRUE,MIDDLESEX,I 89,60.75,Spring,168,274
2004,6,16,Other,Other,FALSE,LYNDON,I 91,136,Spring,168,275
2004,6,16,Fox,Fox,TRUE,MONTPELIER,I 89,54,Spring,168,276
2004,6,16,Beaver,Beaver,TRUE,BERLIN,VT 12,0.45,Spring,168,277
2004,6,16,Deer - Adult Doe,Deer,TRUE,MIDDLESEX,I 89,58.15,Spring,168,278
